community_id,filename,building_ratio,is_building_likely
445603,445603_01.jpg,0.0,0
847007,847007_00.jpg,0.1339453125,1
847007,847007_01.jpg,0.0341015625,0
847370,847370_00.jpg,0.0,0
847370,847370_01.jpg,0.0,0
239935,239935_00.jpg,0.0,0
239935,239935_01.jpg,0.184921875,1
287415,287415_00.jpg,0.01484375,0
287415,287415_01.jpg,0.0,0
846019,846019_00.jpg,0.0,0
846019,846019_01.jpg,0.1923046875,1
846387,846387_00.jpg,0.0,0
846387,846387_01.jpg,0.005234375,0
266502,266502_00.jpg,0.0,0
266502,266502_01.jpg,0.0,0
846068,846068_00.jpg,0.0605078125,0
846068,846068_01.jpg,0.1066796875,1
846423,846423_00.jpg,0.016875,0
846423,846423_01.jpg,0.0537109375,0
847330,847330_00.jpg,0.15203125,1
847330,847330_01.jpg,0.05875,0
846493,846493_00.jpg,0.1034765625,1
846493,846493_01.jpg,0.0653515625,0
292688,292688_00.jpg,0.0,0
292688,292688_01.jpg,0.189609375,1
846181,846181_00.jpg,0.0,0
846181,846181_01.jpg,0.0,0
846500,846500_00.jpg,0.0,0
846500,846500_01.jpg,0.072265625,0
847435,847435_00.jpg,0.4452734375,1
847435,847435_01.jpg,0.41421875,1
286482,286482_00.jpg,0.0,0
286482,286482_01.jpg,0.0996875,1
846258,846258_00.jpg,0.0,0
846258,846258_01.jpg,0.0013671875,0
239884,239884_00.jpg,0.3301171875,1
239884,239884_01.jpg,0.1573828125,1
286700,286700_00.jpg,0.00015625,0
286700,286700_01.jpg,0.0,0
846061,846061_00.jpg,0.0634765625,0
846061,846061_01.jpg,0.0,0
318310,318310_00.jpg,0.0,0
318310,318310_01.jpg,0.0,0
289453,289453_00.jpg,0.0,0
289453,289453_01.jpg,0.1338671875,1
846215,846215_00.jpg,0.0,0
846215,846215_01.jpg,0.0768359375,0
847682,847682_00.jpg,0.264140625,1
213189,213189_00.jpg,0.0,0
213189,213189_01.jpg,0.0,0
291979,291979_00.jpg,0.1337890625,1
291979,291979_01.jpg,0.0,0
247902,247902_00.jpg,0.204765625,1
247902,247902_01.jpg,0.105546875,1
349533,349533_00.jpg,0.2382421875,1
349533,349533_01.jpg,0.1503515625,1
266366,266366_00.jpg,0.24015625,1
266366,266366_01.jpg,0.0,0
246757,246757_00.jpg,0.1705078125,1
246757,246757_01.jpg,0.1980859375,1
247900,247900_00.jpg,0.0317578125,0
247900,247900_01.jpg,0.0853515625,1
846697,846697_00.jpg,0.0,0
846697,846697_01.jpg,0.0,0
358472,358472_00.jpg,0.0776171875,0
358472,358472_01.jpg,0.025859375,0
316400,316400_00.jpg,0.025234375,0
316400,316400_01.jpg,0.0,0
846737,846737_00.jpg,0.0315234375,0
846737,846737_01.jpg,0.055546875,0
241085,241085_00.jpg,0.00015625,0
241085,241085_01.jpg,0.0,0
225019,225019_00.jpg,0.0,0
225019,225019_01.jpg,0.0,0
540689,540689_00.jpg,0.16703125,1
540689,540689_01.jpg,0.0264453125,0
366776,366776_00.jpg,0.0243359375,0
366776,366776_01.jpg,0.0159375,0
301751,301751_00.jpg,0.056171875,0
301751,301751_01.jpg,0.1559765625,1
301486,301486_00.jpg,0.0,0
301486,301486_01.jpg,0.0,0
301255,301255_00.jpg,0.0,0
301255,301255_01.jpg,0.0,0
846426,846426_00.jpg,0.0764453125,0
846426,846426_01.jpg,0.1386328125,1
317424,317424_00.jpg,0.0408203125,0
317424,317424_01.jpg,0.0475,0
286232,286232_00.jpg,0.0,0
286232,286232_01.jpg,0.0180078125,0
847405,847405_00.jpg,0.176015625,1
847405,847405_01.jpg,0.1692578125,1
847446,847446_00.jpg,0.011640625,0
847446,847446_01.jpg,0.0183984375,0
847451,847451_00.jpg,0.0453515625,0
847451,847451_01.jpg,0.025859375,0
847145,847145_00.jpg,0.0,0
847145,847145_01.jpg,0.0071484375,0
307877,307877_00.jpg,0.0,0
307877,307877_01.jpg,0.0,0
315585,315585_00.jpg,0.0,0
315585,315585_01.jpg,0.078359375,0
880091,880091_00.jpg,0.1856640625,1
880091,880091_01.jpg,0.119296875,1
816108,816108_00.jpg,0.043125,0
816108,816108_01.jpg,0.0,0
802393,802393_00.jpg,0.318125,1
802393,802393_01.jpg,0.048359375,0
880115,880115_00.jpg,0.0805859375,1
880115,880115_01.jpg,0.00171875,0
880114,880114_00.jpg,0.1677734375,1
880114,880114_01.jpg,0.0589453125,0
914458,914458_00.jpg,0.1096484375,1
914458,914458_01.jpg,0.0,0
302128,302128_00.jpg,0.0197265625,0
302128,302128_01.jpg,0.0,0
301536,301536_00.jpg,0.08125,1
301536,301536_01.jpg,0.0,0
212596,212596_00.jpg,0.05953125,0
212596,212596_01.jpg,0.1041015625,1
846371,846371_00.jpg,0.0,0
846371,846371_01.jpg,0.0847265625,1
847716,847716_00.jpg,0.104921875,1
847716,847716_01.jpg,0.0592578125,0
847700,847700_00.jpg,0.0,0
847700,847700_01.jpg,0.0138671875,0
302594,302594_00.jpg,0.0197265625,0
302594,302594_01.jpg,0.0482421875,0
846871,846871_00.jpg,0.0365234375,0
846871,846871_01.jpg,0.0,0
