width,height,aspect_ratio,brightness,colorfulness,sharpness,community_id,filename,quality_proxy
600.0,450.0,1.333333,107.1059,86.357,30.5463,846654,846654_02.jpg,71.4985
600.0,450.0,1.333333,119.2692,123.2555,15.3173,846654,846654_03.jpg,72.5259
600.0,450.0,1.333333,113.1789,91.6596,26.0525,846654,846654_04.jpg,72.606
600.0,450.0,1.333333,125.61,90.2465,21.8105,846654,846654_05.jpg,73.3551
600.0,450.0,1.333333,102.2774,130.052,22.1899,485160,485160_00.jpg,71.3548
600.0,450.0,1.333333,127.6805,126.0186,15.734,485160,485160_01.jpg,74.2989
600.0,450.0,1.333333,119.3505,127.4152,18.5029,485160,485160_02.jpg,73.5373
600.0,450.0,1.333333,144.3609,93.0447,13.9349,485160,485160_03.jpg,68.8648
600.0,450.0,1.333333,137.0717,101.4526,12.2183,485160,485160_04.jpg,71.4909
600.0,450.0,1.333333,89.6643,115.8952,24.4316,485160,485160_05.jpg,69.5919
600.0,450.0,1.333333,82.2746,79.3531,25.1464,492068,492068_00.jpg,63.2102
600.0,450.0,1.333333,94.6242,109.279,36.1487,492068,492068_01.jpg,74.2222
600.0,450.0,1.333333,94.9212,108.8041,25.8718,492068,492068_02.jpg,71.0687
600.0,450.0,1.333333,86.6739,101.1977,35.3767,492068,492068_03.jpg,72.4282
600.0,450.0,1.333333,96.0564,110.3678,32.5338,492068,492068_04.jpg,73.3723
600.0,450.0,1.333333,86.7752,90.9586,32.2199,492068,492068_05.jpg,69.2011
600.0,450.0,1.333333,101.9834,97.3854,34.0062,513050,513050_00.jpg,74.3364
600.0,450.0,1.333333,101.7446,117.1776,21.2606,513050,513050_01.jpg,70.9604
600.0,450.0,1.333333,81.9257,145.2804,10.5509,513050,513050_02.jpg,63.7427
600.0,450.0,1.333333,105.7558,107.245,21.779,513050,513050_03.jpg,71.9058
600.0,450.0,1.333333,98.3866,112.7824,10.7973,513050,513050_04.jpg,67.0347
600.0,450.0,1.333333,105.8871,87.5294,39.6792,513050,513050_05.jpg,74.4076
600.0,450.0,1.333333,121.1849,131.4978,35.9218,1000647,1000647_00.jpg,79.3389
600.0,450.0,1.333333,148.2103,131.0687,37.9881,1000647,1000647_01.jpg,77.3684
600.0,450.0,1.333333,108.1016,91.0719,33.424,1000647,1000647_02.jpg,73.771
600.0,450.0,1.333333,103.8925,101.7978,48.2715,1000647,1000647_03.jpg,79.8208
600.0,450.0,1.333333,105.7092,95.4724,49.2446,1000647,1000647_04.jpg,79.3478
600.0,450.0,1.333333,146.1775,118.4856,19.1442,1390461,1390461_00.jpg,71.8767
600.0,450.0,1.333333,143.5422,122.6715,27.6643,1390461,1390461_01.jpg,75.054
600.0,450.0,1.333333,138.8977,117.6615,20.1178,1390461,1390461_02.jpg,73.6028
600.0,450.0,1.333333,141.0071,117.4335,23.5724,1390461,1390461_03.jpg,74.2704
600.0,450.0,1.333333,149.2985,113.6842,20.2852,1390461,1390461_04.jpg,71.6237
600.0,450.0,1.333333,147.4909,110.664,22.3201,1390461,1390461_05.jpg,72.6127
600.0,450.0,1.333333,92.7232,134.9256,33.4275,846197,846197_00.jpg,73.0005
600.0,450.0,1.333333,103.5404,120.2824,41.7081,846197,846197_01.jpg,77.701
600.0,450.0,1.333333,101.1796,132.7908,29.7933,846197,846197_02.jpg,73.5165
600.0,450.0,1.333333,100.8639,145.6426,37.8658,846197,846197_03.jpg,75.9775
600.0,450.0,1.333333,110.3818,126.271,42.6829,846197,846197_04.jpg,79.3418
600.0,443.0,1.354402,106.4534,124.5454,39.3072,846197,846197_05.jpg,77.1685
1200.0,900.0,1.333333,241.0399,35.3535,2.0786,1064085,1064085_00.jpg,31.8543
600.0,450.0,1.333333,105.9299,107.2723,30.3433,1266299,1266299_00.jpg,74.6162
600.0,450.0,1.333333,122.5978,110.4786,34.5695,1266299,1266299_01.jpg,79.1923
600.0,450.0,1.333333,125.4354,95.7608,29.9028,1266299,1266299_02.jpg,77.2284
600.0,450.0,1.333333,134.4187,110.2292,32.5448,1266299,1266299_03.jpg,78.361
600.0,450.0,1.333333,113.2537,100.7896,46.8106,1266299,1266299_04.jpg,81.1926
600.0,450.0,1.333333,119.6412,96.2211,30.6682,233332,233332_00.jpg,76.451
600.0,450.0,1.333333,122.0038,101.4861,33.0377,233332,233332_01.jpg,78.5976
600.0,450.0,1.333333,132.6846,80.4327,41.1828,233332,233332_02.jpg,76.5073
600.0,450.0,1.333333,103.1353,102.0017,42.8074,233332,233332_03.jpg,77.9654
600.0,450.0,1.333333,72.4701,87.9367,36.3613,233332,233332_04.jpg,66.9458
600.0,450.0,1.333333,133.605,99.7252,31.6907,233332,233332_05.jpg,78.1844
1200.0,900.0,1.333333,241.0399,35.3535,2.0786,302131,302131_00.jpg,31.8543
600.0,450.0,1.333333,104.6159,139.1691,19.1786,221902,221902_00.jpg,70.8706
600.0,450.0,1.333333,89.8801,104.2231,36.1708,221902,221902_01.jpg,73.3025
600.0,450.0,1.333333,90.418,89.5693,32.3324,221902,221902_02.jpg,69.6004
600.0,450.0,1.333333,110.8862,95.7578,32.5097,221902,221902_03.jpg,75.2006
600.0,450.0,1.333333,95.4354,148.0557,18.5633,221902,221902_04.jpg,68.8852
600.0,450.0,1.333333,60.8369,86.9051,30.4375,221902,221902_05.jpg,62.5647
1200.0,900.0,1.333333,241.0399,35.3535,2.0786,302884,302884_00.jpg,31.8543
600.0,450.0,1.333333,78.4645,104.2514,24.2693,228138,228138_00.jpg,67.3537
600.0,450.0,1.333333,82.7885,105.6958,27.0514,228138,228138_01.jpg,69.0676
600.0,450.0,1.333333,94.5119,92.9235,36.9485,228138,228138_02.jpg,72.6811
600.0,450.0,1.333333,98.4407,104.1677,29.2423,228138,228138_03.jpg,72.8094
600.0,450.0,1.333333,91.9012,115.7062,21.9594,228138,228138_04.jpg,69.2562
600.0,450.0,1.333333,113.7474,93.3827,26.3373,228138,228138_05.jpg,73.2368
600.0,450.0,1.333333,84.7473,68.8528,22.3617,238044,238044_00.jpg,60.1979
600.0,450.0,1.333333,81.8042,95.4787,34.67,238044,238044_01.jpg,70.1259
600.0,450.0,1.333333,94.2527,63.4074,30.9641,238044,238044_02.jpg,63.3813
600.0,450.0,1.333333,103.6235,146.3558,27.1466,238044,238044_03.jpg,73.1667
600.0,450.0,1.333333,103.6393,113.2592,33.3146,238044,238044_04.jpg,75.0973
600.0,450.0,1.333333,77.9794,98.9953,25.7406,238044,238044_05.jpg,67.4676
600.0,450.0,1.333333,154.3176,117.462,23.6389,301525,301525_00.jpg,71.6915
600.0,450.0,1.333333,127.7783,124.9198,35.8095,301525,301525_01.jpg,80.5916
600.0,450.0,1.333333,126.5274,125.9116,40.3466,301525,301525_02.jpg,81.7651
600.0,450.0,1.333333,101.1557,125.346,42.7009,301525,301525_03.jpg,77.5455
600.0,450.0,1.333333,134.7651,103.2946,28.0008,301525,301525_04.jpg,76.8734
600.0,450.0,1.333333,119.9021,119.6196,30.5488,301525,301525_05.jpg,77.4093
1200.0,900.0,1.333333,241.0399,35.3535,2.0786,1466500,1466500_00.jpg,31.8543
1200.0,900.0,1.333333,241.0399,35.3535,2.0786,1466492,1466492_00.jpg,31.8543
1200.0,900.0,1.333333,241.0399,35.3535,2.0786,1466619,1466619_00.jpg,31.8543
600.0,450.0,1.333333,103.5877,99.9756,31.447,1466775,1466775_00.jpg,74.4975
600.0,450.0,1.333333,112.6856,120.6461,40.2794,1466775,1466775_01.jpg,79.0407
600.0,450.0,1.333333,106.4569,106.2013,47.8919,1466775,1466775_02.jpg,80.203
600.0,450.0,1.333333,101.1005,87.5243,43.5928,1466775,1466775_03.jpg,74.6945
600.0,450.0,1.333333,103.3057,91.8775,36.304,1466775,1466775_04.jpg,73.9357
600.0,450.0,1.333333,96.0739,100.7588,36.2729,1466775,1466775_05.jpg,74.5442
1200.0,900.0,1.333333,241.0399,35.3535,2.0786,1466480,1466480_00.jpg,31.8543
600.0,450.0,1.333333,95.3883,158.2704,18.5917,261840,261840_00.jpg,68.8849
600.0,450.0,1.333333,113.6835,116.6757,30.4417,261840,261840_01.jpg,76.1613
600.0,450.0,1.333333,112.9811,116.2006,24.6282,261840,261840_02.jpg,74.2074
600.0,450.0,1.333333,126.4386,118.305,30.0905,261840,261840_03.jpg,78.5428
600.0,450.0,1.333333,124.1686,98.504,29.8597,261840,261840_04.jpg,77.6533
600.0,450.0,1.333333,101.9051,113.4714,29.7164,261840,261840_05.jpg,73.6342
600.0,450.0,1.333333,127.1689,135.8774,33.2203,846167,846167_00.jpg,79.6635
600.0,450.0,1.333333,127.2337,137.1487,35.6792,846167,846167_01.jpg,80.4445
600.0,450.0,1.333333,116.4346,137.987,35.6688,846167,846167_02.jpg,78.3321
600.0,450.0,1.333333,92.061,110.2878,33.3586,846167,846167_03.jpg,72.8497
600.0,450.0,1.333333,98.0753,99.2389,49.2588,846167,846167_04.jpg,78.8029
600.0,450.0,1.333333,101.656,139.5492,40.225,846167,846167_05.jpg,76.8695
600.0,450.0,1.333333,142.4933,128.2786,34.8945,243890,243890_00.jpg,77.5183
600.0,450.0,1.333333,109.3412,110.9517,24.3846,243890,243890_01.jpg,73.4203
600.0,450.0,1.333333,111.974,136.2319,34.0078,243890,243890_02.jpg,76.9418
600.0,450.0,1.333333,117.4687,108.505,24.1362,243890,243890_03.jpg,74.9301
600.0,450.0,1.333333,118.8184,104.1218,27.5791,243890,243890_04.jpg,76.2696
600.0,450.0,1.333333,125.1861,71.2458,27.3912,243890,243890_05.jpg,70.2661
600.0,450.0,1.333333,136.478,121.7561,23.7716,847610,847610_00.jpg,75.2172
600.0,450.0,1.333333,124.0583,142.1232,21.8785,847610,847610_01.jpg,75.5116
600.0,450.0,1.333333,127.2494,97.1851,33.879,847610,847610_02.jpg,79.1813
600.0,450.0,1.333333,126.3014,106.7333,23.0999,847610,847610_03.jpg,76.3314
600.0,450.0,1.333333,159.3134,124.8891,25.0219,223285,223285_00.jpg,71.1479
600.0,450.0,1.333333,93.5323,119.5962,28.1761,223285,223285_01.jpg,71.5175
600.0,450.0,1.333333,103.0165,124.2246,22.9923,223285,223285_02.jpg,71.75
600.0,450.0,1.333333,159.4634,118.8668,45.0078,223285,223285_03.jpg,77.3642
600.0,450.0,1.333333,117.1395,135.1612,36.2457,223285,223285_04.jpg,78.65
600.0,450.0,1.333333,93.7205,114.4726,23.3254,223285,223285_05.jpg,70.0384
600.0,450.0,1.333333,117.6474,137.6959,29.174,213773,213773_00.jpg,76.5393
600.0,450.0,1.333333,104.1487,141.7756,20.7925,213773,213773_01.jpg,71.2836
600.0,450.0,1.333333,106.4374,119.1007,21.7008,213773,213773_02.jpg,72.0145
600.0,450.0,1.333333,103.6428,121.6669,25.7394,213773,213773_03.jpg,72.7307
600.0,450.0,1.333333,121.4367,90.2067,7.8466,213773,213773_04.jpg,68.1663
600.0,450.0,1.333333,129.8169,102.6455,22.1674,213773,213773_05.jpg,76.0169
600.0,450.0,1.333333,75.1163,78.8189,20.5016,213482,213482_00.jpg,60.2271
600.0,450.0,1.333333,95.5085,93.7507,35.7472,213482,213482_01.jpg,72.7071
600.0,450.0,1.333333,80.5771,109.0628,23.3732,213482,213482_02.jpg,67.4863
600.0,450.0,1.333333,120.2469,103.7485,19.1137,213482,213482_03.jpg,73.9032
600.0,450.0,1.333333,120.6866,99.1115,21.4181,213482,213482_04.jpg,74.4871
600.0,450.0,1.333333,134.342,100.5808,12.6203,213482,213482_05.jpg,72.1496
1200.0,900.0,1.333333,241.0399,35.3535,2.0786,1291533,1291533_00.jpg,31.8543
1200.0,900.0,1.333333,241.0399,35.3535,2.0786,1291534,1291534_00.jpg,31.8543
1200.0,900.0,1.333333,241.0399,35.3535,2.0786,1291539,1291539_00.jpg,31.8543
1200.0,900.0,1.333333,241.0399,35.3535,2.0786,1291540,1291540_00.jpg,31.8543
600.0,450.0,1.333333,128.9527,97.045,42.3127,1291535,1291535_00.jpg,81.7423
600.0,450.0,1.333333,189.8961,103.1885,25.9115,1291535,1291535_01.jpg,65.4527
600.0,450.0,1.333333,147.3051,121.4907,22.2394,1291535,1291535_02.jpg,72.6237
559.0,450.0,1.242222,203.7977,101.5281,38.7075,1291535,1291535_03.jpg,68.2548
600.0,450.0,1.333333,101.932,96.0626,50.7864,1498153,1498153_00.jpg,79.2394
600.0,450.0,1.333333,152.2601,106.1503,29.5245,1498153,1498153_01.jpg,73.9326
600.0,450.0,1.333333,143.789,119.1675,37.5482,1498153,1498153_02.jpg,78.0945
600.0,450.0,1.333333,101.932,96.0626,50.7864,1498153,1498153_03.jpg,79.2394
600.0,450.0,1.333333,111.7043,93.0434,36.1205,1397236,1397236_00.jpg,75.8102
600.0,450.0,1.333333,102.3855,92.0419,25.4473,1397236,1397236_01.jpg,70.4044
600.0,450.0,1.333333,109.4683,80.0238,22.5129,1397236,1397236_02.jpg,67.8662
600.0,450.0,1.333333,121.113,88.482,30.077,1397236,1397236_03.jpg,74.6189
600.0,450.0,1.333333,123.1973,91.7145,30.559,1397236,1397236_04.jpg,75.9847
600.0,450.0,1.333333,145.236,104.6827,31.5749,1397236,1397236_05.jpg,75.9452
600.0,450.0,1.333333,116.8201,94.1627,26.6165,1397235,1397235_00.jpg,74.1192
600.0,450.0,1.333333,116.7072,81.1068,30.6116,1397235,1397235_01.jpg,72.0817
600.0,450.0,1.333333,88.6996,75.0616,17.053,1397235,1397235_02.jpg,60.8631
600.0,450.0,1.333333,118.1109,92.8425,28.5916,1397235,1397235_03.jpg,74.6585
600.0,450.0,1.333333,111.648,93.7777,25.1324,1397235,1397235_04.jpg,72.549
600.0,450.0,1.333333,115.8762,89.2419,24.2273,1397235,1397235_05.jpg,71.958
600.0,450.0,1.333333,95.4811,107.5298,8.8325,1397233,1397233_00.jpg,65.8533
600.0,450.0,1.333333,56.6844,70.0755,14.0602,1397233,1397233_01.jpg,52.4283
600.0,450.0,1.333333,94.8347,91.181,24.5926,1397233,1397233_02.jpg,68.4473
600.0,450.0,1.333333,89.7243,88.5664,18.7861,1397233,1397233_03.jpg,64.981
600.0,450.0,1.333333,76.7936,87.448,16.0083,1397233,1397233_04.jpg,61.3078
600.0,450.0,1.333333,84.5412,105.8872,17.7247,1397233,1397233_05.jpg,66.4954
600.0,450.0,1.333333,64.7767,78.3384,12.9793,1401055,1401055_00.jpg,55.7368
600.0,450.0,1.333333,68.0492,84.5186,15.1385,1401055,1401055_01.jpg,58.5957
600.0,450.0,1.333333,56.646,89.9654,8.1688,1401055,1401055_02.jpg,55.5522
600.0,450.0,1.333333,98.1368,87.0628,35.3168,1401055,1401055_03.jpg,71.414
600.0,450.0,1.333333,96.5306,94.6872,35.0989,1401055,1401055_04.jpg,72.9383
600.0,450.0,1.333333,99.1068,92.9939,30.7828,1401055,1401055_05.jpg,71.6693
1200.0,900.0,1.333333,241.0399,35.3535,2.0786,1405373,1405373_00.jpg,31.8543
1200.0,900.0,1.333333,241.0399,35.3535,2.0786,1409410,1409410_00.jpg,31.8543
600.0,450.0,1.333333,79.3189,108.3256,14.7928,1409413,1409413_00.jpg,64.5592
600.0,450.0,1.333333,85.9284,124.3678,18.2503,1409413,1409413_01.jpg,66.9306
600.0,450.0,1.333333,120.0727,115.824,33.5951,1409413,1409413_02.jpg,78.3946
600.0,450.0,1.333333,101.5526,74.5986,24.3354,1409413,1409413_03.jpg,65.5334
600.0,450.0,1.333333,126.4981,101.3375,28.7368,1409413,1409413_04.jpg,78.1314
600.0,450.0,1.333333,140.8256,106.7592,30.6442,1409413,1409413_05.jpg,76.5158
1200.0,900.0,1.333333,241.0399,35.3535,2.0786,1409776,1409776_00.jpg,31.8543
1200.0,900.0,1.333333,241.0399,35.3535,2.0786,1053440,1053440_00.jpg,31.8543
600.0,450.0,1.333333,130.9738,97.4368,47.1795,1056668,1056668_00.jpg,82.9664
600.0,450.0,1.333333,140.5197,101.9313,41.5249,1056668,1056668_01.jpg,79.9757
600.0,450.0,1.333333,100.1442,97.0534,22.4396,1056668,1056668_02.jpg,70.2796
600.0,450.0,1.333333,92.1876,94.1023,20.3945,1056668,1056668_03.jpg,67.3487
600.0,450.0,1.333333,85.4414,97.2783,19.5969,1056668,1056668_04.jpg,66.5758
600.0,450.0,1.333333,127.1683,76.0137,12.3254,1056668,1056668_05.jpg,67.1371
1200.0,900.0,1.333333,241.0399,35.3535,2.0786,1214576,1214576_00.jpg,31.8543
600.0,450.0,1.333333,135.9587,90.5244,45.4436,1214575,1214575_00.jpg,79.7222
600.0,450.0,1.333333,146.6705,105.735,41.13,1214575,1214575_01.jpg,78.651
600.0,450.0,1.333333,135.0025,93.9687,48.8016,1214575,1214575_02.jpg,81.8194
600.0,450.0,1.333333,121.0752,100.272,27.0589,1214575,1214575_03.jpg,76.5479
600.0,450.0,1.333333,125.7774,94.9148,22.1512,1214575,1214575_04.jpg,74.6613
600.0,450.0,1.333333,126.5279,85.3315,18.8,1214575,1214575_05.jpg,71.3648
600.0,450.0,1.333333,135.3346,143.0434,42.5366,1236243,1236243_00.jpg,81.3046
1200.0,900.0,1.333333,241.0399,35.3535,2.0786,1383349,1383349_00.jpg,31.8543
600.0,450.0,1.333333,106.8142,75.4679,33.7377,1285693,1285693_00.jpg,69.7166
600.0,450.0,1.333333,110.7682,85.2362,31.221,1285693,1285693_01.jpg,72.1445
600.0,450.0,1.333333,110.9668,87.0679,33.6204,1285693,1285693_02.jpg,73.391
600.0,450.0,1.333333,85.7153,91.1793,26.8866,1285693,1285693_03.jpg,67.3826
600.0,450.0,1.333333,142.6045,95.8941,35.9978,1285693,1285693_04.jpg,76.8148
600.0,450.0,1.333333,105.0896,70.3728,37.0832,1285693,1285693_05.jpg,69.1515
600.0,450.0,1.333333,108.297,100.6846,32.661,1285692,1285692_00.jpg,75.8028
600.0,450.0,1.333333,105.506,86.8337,36.9173,1285692,1285692_01.jpg,73.2962
600.0,450.0,1.333333,107.8102,88.2213,35.5726,1285692,1285692_02.jpg,73.6729
600.0,450.0,1.333333,121.7096,82.1207,30.6909,1285692,1285692_03.jpg,73.3369
600.0,450.0,1.333333,115.9298,80.1715,29.9824,1285692,1285692_04.jpg,71.4994
600.0,450.0,1.333333,113.3295,84.4625,30.3022,1285692,1285692_05.jpg,72.1642
600.0,450.0,1.333333,150.0582,112.8005,48.7704,1288383,1288383_00.jpg,80.377
600.0,450.0,1.333333,146.1491,118.9024,55.9113,1288383,1288383_01.jpg,83.372
600.0,450.0,1.333333,145.9335,118.9349,51.5968,1288383,1288383_02.jpg,82.0658
